name,type,values,attribute_type
age,numeric,18->35|36->45|46->inf,input
job,categorical,admin.|unknown|unemployed|management|housemaid|entrepreneur|student|blue-collar|self-employed|retired|technician|services,input
marital,categorical,married|divorced|single,input
education,categorical,unknown|secondary|primary|tertiary,input
default,binary,yes|no,input
balance,numeric,-inf->-1|0->24|25->299|300->699|700->1999|2000->inf,input
housing,binary,yes|no,input
loan,binary,yes|no,input
contact,categorical,unknown|telephone|cellular,input
day,numeric,1->6|7->12|13->18|19->24|25->31,input
month,categorical,jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec,input
duration,numeric,0->120|121->240|241->inf,input
campaign,numeric,1|2|3|4->inf,input
pdays,numeric,-1|1->inf,input
previous,numeric,0|1->inf,input
poutcome,categorical,unknown|other|failure|success,input
y,binary,yes|no,output